tweet,tweet_tokenized
La solución real de la crisis del agua pasa por tener la voluntad política y hacer las inversiones necesarias.  Hoy vemos como nada de eso sucede.   #SinPresiónNoHayAgua  https://t.co/yBgRekk5yn,"['solución', 'real', 'crisis', 'agua', 'pasa', 'tener', 'voluntad', 'política', 'hacer', 'inversiones', 'necesarias', 'hoy', 'vemos', 'sucede', 'sinpresiónnohayagua']"
Vecino!  Nos vemos mañana junto a @CarlosOcariz para conversar sobre los retos que juntos tenemos que afrontar como ciudadanos.  Te esperamos 💪🏻  https://t.co/vqJsIIhDqC,"['vecino', 'vemos', 'mañana', 'junto', 'carlosocariz', 'conversar', 'retos', 'juntos', 'afrontar', 'ciudadanos', 'esperamos', '💪🏻']"
¡Vacunas para todos!  https://t.co/uL27BXSMpX,['¡vacunas']
Vecinos!  Nos vemos mañana 💪🏻  https://t.co/C6MHVK2m3v,"['vecinos', 'vemos', 'mañana', '💪🏻']"
Nuestra postura desde @ChacaoPJ sobre el uso político y partidista de los chats institucionales de la Alcaldía de Chacao.  https://t.co/I6ZVs4IJlu,"['postura', 'chacaopj', 'uso', 'político', 'partidista', 'chats', 'institucionales', 'alcaldía', 'chacao']"
Apoyaremos juntos al Acuerdo de Salvación Nacional en cada rincón de Chacao.  https://t.co/kU7EvLNS4W,"['apoyaremos', 'juntos', 'acuerdo', 'salvación', 'nacional', 'cada', 'rincón', 'chacao']"
"Esta tarde le presentamos a nuestros vecinos la Plataforma Unitaria De Chacao.  Los partidos políticos, líderes vecinales y organizaciones ciudadanas del municipio le decimos a Chacao que si hay una alternativa a la crisis que estamos viviendo.  https://t.co/LdgmulI2Su","['tarde', 'presentamos', 'vecinos', 'plataforma', 'unitaria', 'chacao', 'partidos', 'políticos', 'líderes', 'vecinales', 'organizaciones', 'ciudadanas', 'municipio', 'decimos', 'chacao', 'si', 'alternativa', 'crisis', 'viviendo']"
¡Vecino de Chacao!  Es responsabilidad de cada uno de nosotros trabajar por el cambio en Venezuela.  Te invitamos este Jueves 27 de Mayo al lanzamiento de la Plataforma Unitaria de Chacao.   ¡Te esperamos!  https://t.co/N1ozWXQ3v7,"['¡vecino', 'chacao', 'responsabilidad', 'cada', 'trabajar', 'cambio', 'venezuela', 'invitamos', 'jueves', 'mayo', 'lanzamiento', 'plataforma', 'unitaria', 'chacao', '¡te', 'esperamos']"
"@EliecerJimenez_ Es que si tú no está de acuerdo con la dirigencia actual, un proceso como este te da la posibilidad de cambiarla y renovarla.  Es más, si tú tienes el apoyo, te recomendaría que participes y los barras a todos.  Dejando las cosas como están nada va a cambiar.","['eliecerjimenez', 'si', 'acuerdo', 'dirigencia', 'actual', 'proceso', 'da', 'posibilidad', 'cambiarla', 'renovarla', 'si', 'apoyo', 'recomendaría', 'participes', 'barras', 'dejando', 'cosas', 'va', 'cambiar']"
@Delineada Por eso mismo es necesario,"['delineada', 'mismo', 'necesario']"
