tweet,tweet_tokenized
Meteora es un gran álbum. Siempre lo digo.,"['meteora', 'gran', 'álbum', 'siempre', 'digo']"
@danizuritac @elias_rivas Ya no existe el de Alta Vista? 😢,"['danizuritac', 'elias', 'rivas', 'existe', 'alta', 'vista']"
"@AurelisConTwtt Jajaja pero que no se metan con eso, quise decir. Vi mucho hate por ahí","['aureliscontwtt', 'jajaja', 'metan', 'quise', 'decir', 'vi', 'hate', 'ahí']"
"Dejen a las chamas bailar sus TikTok en las fiestas, vale","['dejen', 'chamas', 'bailar', 'tiktok', 'fiestas', 'vale']"
"@eversalazar Jajajaja ese tuit soy yo negada a entender ""el reloj de agujas"" a los 8 años","['eversalazar', 'jajajaja', 'tuit', 'negada', 'entender', 'reloj', 'agujas', 'años']"
Momento de ver a Steven Seagal en South Park  https://t.co/vLft3J7TxT,"['momento', 'ver', 'steven', 'seagal', 'south', 'park']"
"@alvarocord Totalmente, esa es la palabra, da vergüenza ajena escucharlo hablar","['alvarocord', 'totalmente', 'palabra', 'da', 'vergüenza', 'ajena', 'escucharlo', 'hablar']"
100%,[]
La vida es linda,"['vida', 'linda']"
#AMood  #UnaFranelaQueDiga,"['amood', 'unafranelaquediga']"
OMG,['omg']
"Salvini, dirigente derechista en Italia (partido La Liga) bloquea a todo el contradice o adversa por Twitter.  Los políticos son iguales en todo el mundo.","['salvini', 'dirigente', 'derechista', 'italia', 'partido', 'liga', 'bloquea', 'contradice', 'adversa', 'twitter', 'políticos', 'iguales', 'mundo']"
"¿Quién hizo del #Springcleaning una tardecita chill con birritas incluidas hoy?  Yo, obviamente","['¿quién', 'hizo', 'springcleaning', 'tardecita', 'chill', 'birritas', 'incluidas', 'hoy', 'obviamente']"
No olvidamos,['olvidamos']
"La #FestaDelLavoro si festeggia lavorando 😅   Feliz día del trabajador, yo hoy festejo trabajando 💪","['festadellavoro', 'si', 'festeggia', 'lavorando', 'feliz', 'día', 'trabajador', 'hoy', 'festejo', 'trabajando']"
