tweet,tweet_tokenized
Bachiller de la República. Gracias a dios por ayudarme a cumplir esta…  https://t.co/QTbvAdlL84,"['bachiller', 'república', 'gracias', 'dios', 'ayudarme', 'cumplir', 'esta…']"
#NoFuiPaReparacionRumba fiesta de fin de año nojoda.,"['nofuipareparacionrumba', 'fiesta', 'fin', 'año', 'nojoda']"
Por fin vacaciones...,"['fin', 'vacaciones']"
Coño tengo que cambiar el avatar.,"['coño', 'cambiar', 'avatar']"
Extrañaba esos fifazos...,"['extrañaba', 'fifazos']"
En mi mesa comerán los que conmigo pasaron hambre.,"['mesa', 'comerán', 'conmigo', 'pasaron', 'hambre']"
VAMOOOOOOOOOOOOOOOOOOOS QUE LO EMPATAMOS.,"['vamooooooooooooooooooos', 'empatamos']"
GOOOOOOOOOOOOOOOOL NOJODAAAAAAAAAAAAAAA.,"['gooooooooooooooool', 'nojodaaaaaaaaaaaaaaa']"
VAMOOOOOOOOOOOOOOOOOOOS NOJODAAAAAAAAAAAAAAA.,"['vamooooooooooooooooooos', 'nojodaaaaaaaaaaaaaaa']"
Coñooooo saquen al lobo guerra.,"['coñooooo', 'saquen', 'lobo', 'guerra']"
Ojalá gane Perú o Colombia.,"['ojalá', 'gane', 'perú', 'colombia']"
"Today stats: 28 followers, 31 unfollowers and followed 21 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
Simplemente inolvidable.,"['simplemente', 'inolvidable']"
Que día tan brutal.,"['día', 'tan', 'brutal']"
Miku solo sirve para esto...  http://t.co/65Anqss5mK,"['miku', 'solo', 'sirve']"
VAMOOOOOOOOOOOOOOOOOOOS VINOTINTOOOOOO!,"['vamooooooooooooooooooos', 'vinotintoooooo']"
"Today stats: 15 followers, 43 unfollowers and followed 9 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"#FutboltotaldirectvBailaVargas VENEZUELA SE RESPETA, LOS BOCONES SIEMPRE PIERDEN.","['futboltotaldirectvbailavargas', 'venezuela', 'respeta', 'bocones', 'siempre', 'pierden']"
ESTO ES PARA LOS QUE  NO TENÍAN FE EN LA SELECCIÓN.,"['fe', 'selección']"
GANAMOOOOOOOOOOOS NOJODAAAAAAAAAAAAAAA,"['ganamooooooooooos', 'nojodaaaaaaaaaaaaaaa']"
Grande saloooo,"['grande', 'saloooo']"
Gooooooooooooooool mamaguevoooooo,"['gooooooooooooooool', 'mamaguevoooooo']"
Sigan así que esto lo ganamos. VAMOS CON TODO CARAJOOOOOO!,"['sigan', 'así', 'ganamos', 'vamos', 'carajoooooo']"
"Me gusta como están marcando,  anularon a Falcao,  James y cuadrado fue el que más costo frenar pero no llego claramente.","['gusta', 'marcando', 'anularon', 'falcao', 'james', 'cuadrado', 'costo', 'frenar', 'llego', 'claramente']"
"Te amo Ronald Vargas,  que talento tienes crack @ronaldvargas10","['amo', 'ronald', 'vargas', 'talento', 'crack', 'ronaldvargas']"
"@fpetrocelli grande petro, siempre dando todo.","['fpetrocelli', 'grande', 'petro', 'siempre', 'dando']"
Prefiero a Seijas con Rincón que Arango con Rincón.,"['prefiero', 'seijas', 'rincón', 'arango', 'rincón']"
Me gusta el 11 de Venezuela.,"['gusta', 'venezuela']"
Una prueba de eso son las eliminatorias.,"['prueba', 'eliminatorias']"
"Que arrechera me da esa gente que no tiene fe en la vinotinto,  yo se que Colombia es muy difícil pero a ellos les cuesta ganarnos.","['arrechera', 'da', 'gente', 'fe', 'vinotinto', 'colombia', 'difícil', 'cuesta', 'ganarnos']"
"Today stats: 14 followers, 26 unfollowers and followed 11 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 2 followers, 10 unfollowers and followed 3 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
"Today stats: 6 followers, 6 unfollowers and followed 2 people via  http://t.co/dfk1Urik4h","['today', 'stats', 'followers', 'unfollowers', 'and', 'followed', 'people', 'via']"
Que partidazo...,['partidazo']
